IAO, [1s,2s frozen] SCF energy -75.409656204013 
IAO, [1s,2s frozen] FCI energy -75.423072402089 
FULL, [1s,2s frozen] SCF energy -75.409656204028 
FULL, [1s,2s frozen] FCI energy nan 
FCI+FCI [1s,2s frozen] NEVPT2 energy -75.591989629100 
FCI+QSE [1s,2s frozen] NEVPT2 energy -75.564603335520 
VQE(Ry) energy (I) -75.422678774158 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.548222392026 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.548132456209 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.548119179650 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.548425845074 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.548185500735 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.548198613266 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.548158291524 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.548208087248 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.548190613692 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.548247700461 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.548223434179 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.548291191889 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.548308190315 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.548230108697 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.548263003225 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.548179442808 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.548096133861 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.548230203583 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.548343669520 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.548292643948 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.548102714093 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.548198510932 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.548172263675 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.548200575361 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.548203210956 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.548193809589 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.548158193689 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.548211815612 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.548198631476 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.548125692426 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.548385541302 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.548315678455 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.548124926108 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.548138687577 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.548333650048 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.548109550389 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.548225416761 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.548221311298 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.548160249403 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.548259337236 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.548368698165 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.548174353046 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.548367615275 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.548263805486 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.548248098396 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.548081210686 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.548183209897 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.548267085778 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.548194906609 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.548274816032 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.548120659134 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.548228420009 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.548131661644 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.548126136639 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.548089418663 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.548165851792 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.548092590891 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.548244781022 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.548095461044 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.548091789275 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.548084509323 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.547995150274 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.548356465368 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.548334816760 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.548325124109 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.548188004008 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.548078730273 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.548276910904 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.548295189193 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.548231567618 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.548144926046 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.548357775400 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.548126079866 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.548060403189 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.548234257248 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.548344112867 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.548177629370 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.548192201512 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.548236227144 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.548079195584 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.548207805423 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.548284190651 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.548057459876 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.548154211322 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.548190887077 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.548147201230 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.548234220463 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.548238510048 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.548145360680 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.548353059476 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.548247304314 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.548209425290 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.548180979890 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.548138257016 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.548330874064 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.548171160404 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.548254963072 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.548190927649 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.548060585839 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.548036455176 
