IAO, [1s,2s frozen] SCF energy -75.414092443026 
IAO, [1s,2s frozen] FCI energy -75.424405438845 
FULL, [1s,2s frozen] SCF energy -75.414692482011 
FULL, [1s,2s frozen] FCI energy nan 
FCI+FCI [1s,2s frozen] NEVPT2 energy -75.532674322694 
FCI+QSE [1s,2s frozen] NEVPT2 energy -75.514752336279 
VQE(Ry) energy (I) -75.424391790731 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.507228058798 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.507225248218 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.507203531770 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.507202703787 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.507230098717 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.507239293804 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.507220410682 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.507197436079 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.507230643357 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.507209055085 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.507224913338 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.507199215969 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.507211510893 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.507244675172 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.507206693538 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.507194883730 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.507229335174 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.507215857378 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.507227684803 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.507204143202 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.507206024594 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.507195614262 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.507226997000 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.507201479722 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.507202059708 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.507223544302 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.507208642621 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.507209139443 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.507233946726 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.507209861665 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.507217148591 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.507200735949 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.507225634384 
