IAO, [1s,2s frozen] SCF energy -75.414092443026 
IAO, [1s,2s frozen] FCI energy -75.424405438845 
FULL, [1s,2s frozen] SCF energy -75.414692482011 
FULL, [1s,2s frozen] FCI energy nan 
FCI+FCI [1s,2s frozen] NEVPT2 energy -75.532674322695 
FCI+QSE [1s,2s frozen] NEVPT2 energy -75.514752336279 
VQE(Ry) energy (I) -75.424391790731 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.510243890962 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.510232149286 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.510242159923 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.510235855532 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.510232400834 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.510239889128 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.510235389270 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.510260301196 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.510246611601 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.510231018338 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.510238294390 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.510235533027 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.510242617646 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.510257601791 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.510231714703 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.510241581227 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.510237040236 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.510235726053 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.510227109333 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.510251653587 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.510245005337 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.510234754125 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.510215446546 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.510223976948 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.510233287242 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.510240321615 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.510223880529 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.510247077523 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.510241387635 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.510237175056 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.510221282802 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.510228803805 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.510217116338 
