IAO, [1s,2s frozen] SCF energy -75.414092443026 
IAO, [1s,2s frozen] FCI energy -75.424405438845 
FULL, [1s,2s frozen] SCF energy -75.414692482011 
FULL, [1s,2s frozen] FCI energy nan 
FCI+FCI [1s,2s frozen] NEVPT2 energy -75.532674322695 
FCI+QSE [1s,2s frozen] NEVPT2 energy -75.514752336279 
VQE(Ry) energy (I) -75.424391790731 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.503588361632 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.503587616432 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.503616274118 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.503626654728 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.503624757875 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.503610934850 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.503622916360 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.503604217149 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.503627656945 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.503577839712 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.503600916032 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.503608074936 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.503614726207 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.503592880986 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.503586917271 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.503632516679 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.503608768133 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.503603608981 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.503578212211 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.503607018285 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.503615856957 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.503584225927 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.503649507870 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.503588196052 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.503627999840 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.503616354285 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.503657183534 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.503608204589 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.503633516789 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.503589021281 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.503639623302 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.503604266278 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.503638110848 
