IAO, [1s,2s frozen] SCF energy -75.414092443026 
IAO, [1s,2s frozen] FCI energy -75.424405438845 
FULL, [1s,2s frozen] SCF energy -75.414692482011 
FULL, [1s,2s frozen] FCI energy nan 
FCI+FCI [1s,2s frozen] NEVPT2 energy -75.532674322695 
FCI+QSE [1s,2s frozen] NEVPT2 energy -75.514752336279 
VQE(Ry) energy (I) -75.424391790731 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.507281727401 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.507278406342 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.507309572878 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.507224493756 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.507311803574 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.507312074097 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.507256499855 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.507259704509 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.507235791371 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.507293251028 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.507283391064 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.507237356305 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.507216067488 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.507242199260 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.507221187704 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.507227850793 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.507201485174 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.507227896643 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.507197745599 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.507257633009 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.507287766900 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.507288705148 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.507291049471 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.507206263355 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.507293591741 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.507217722308 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.507264784401 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.507283809192 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.507183378372 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.507291062827 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.507216669537 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.507231959059 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.507271351103 
