IAO, [1s,2s frozen] SCF energy -75.414092443026 
IAO, [1s,2s frozen] FCI energy -75.424405438845 
FULL, [1s,2s frozen] SCF energy -75.414692482011 
FULL, [1s,2s frozen] FCI energy nan 
FCI+FCI [1s,2s frozen] NEVPT2 energy -75.532674322695 
FCI+QSE [1s,2s frozen] NEVPT2 energy -75.514752336279 
VQE(Ry) energy (I) -75.424391790731 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.509841653962 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.509825749943 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.509825653412 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.509845053434 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.509835488710 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.509850668523 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.509847051208 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.509861482066 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.509800635176 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.509829811125 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.509807890589 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.509806277717 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.509844188269 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.509831591164 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.509836387319 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.509783620726 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.509857632574 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.509833193808 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.509830179924 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.509842462644 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.509826453568 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.509813023584 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.509759438387 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.509866119782 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.509815649720 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.509843136590 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.509872348526 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.509813724197 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.509837278354 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.509792219566 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.509858392172 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.509876140350 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.509858170852 
