IAO, [1s,2s frozen] SCF energy -75.414092443026 
IAO, [1s,2s frozen] FCI energy -75.424405438845 
FULL, [1s,2s frozen] SCF energy -75.414692482011 
FULL, [1s,2s frozen] FCI energy nan 
FCI+FCI [1s,2s frozen] NEVPT2 energy -75.532674322695 
FCI+QSE [1s,2s frozen] NEVPT2 energy -75.514752336279 
VQE(Ry) energy (I) -75.424391790731 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.501227290667 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.501157947104 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.501233628124 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.501135455325 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.501200897038 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.501261104451 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.501210025103 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.501118043888 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.501194947886 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.501181006587 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.501212088696 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.501234579443 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.501238996965 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.501232109509 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.501380450153 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.501236256425 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.501274527451 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.501290668377 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.501428057111 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.501292902650 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.501284983380 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.501119469428 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.501331261747 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.501237929566 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.501318715735 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.501275082492 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.501270604290 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.501187988046 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.501206448568 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.501255086715 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.501280323976 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.501269964161 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.501121400437 
