IAO, [1s,2s frozen] SCF energy -75.414092443026 
IAO, [1s,2s frozen] FCI energy -75.424405438845 
FULL, [1s,2s frozen] SCF energy -75.414692482011 
FULL, [1s,2s frozen] FCI energy nan 
FCI+FCI [1s,2s frozen] NEVPT2 energy -75.532674322694 
FCI+QSE [1s,2s frozen] NEVPT2 energy -75.514752336279 
VQE(Ry) energy (I) -75.424391790731 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.508369859489 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.508449701009 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.508460024546 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.508399312511 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.508418150211 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.508449595009 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.508394934467 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.508326904151 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.508443593590 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.508358990822 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.508426476892 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.508386440850 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.508424903425 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.508408019797 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.508432203088 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.508397455947 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.508364863884 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.508361074896 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.508511570037 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.508452687921 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.508503837950 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.508387922002 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.508421027008 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.508406292275 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.508383879914 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.508440148670 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.508445866607 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.508390919352 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.508455573251 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.508445889522 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.508416586896 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.508400934623 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.508401955144 
