IAO, [1s,2s frozen] SCF energy -75.414092443026 
IAO, [1s,2s frozen] FCI energy -75.424405438845 
FULL, [1s,2s frozen] SCF energy -75.414692482011 
FULL, [1s,2s frozen] FCI energy nan 
FCI+FCI [1s,2s frozen] NEVPT2 energy -75.532674322695 
FCI+QSE [1s,2s frozen] NEVPT2 energy -75.514752336279 
VQE(Ry) energy (I) -75.424391790731 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.510543374413 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.510504696097 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.510511293810 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.510551726239 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.510529904486 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.510529684397 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.510575947235 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.510535870735 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.510561944856 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.510545050722 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.510509217778 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.510512721040 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.510538109049 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.510590942580 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.510511272313 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.510530873439 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.510572028832 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.510497151695 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.510528315376 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.510579361269 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.510531745168 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.510495708367 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.510553022430 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.510522927309 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.510513241240 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.510526947690 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.510582622102 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.510521050384 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.510532146877 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.510577281337 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.510532640279 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.510583508490 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.510513842894 
