IAO, [1s,2s frozen] SCF energy -75.414092443026 
IAO, [1s,2s frozen] FCI energy -75.424405438845 
FULL, [1s,2s frozen] SCF energy -75.414692482011 
FULL, [1s,2s frozen] FCI energy nan 
FCI+FCI [1s,2s frozen] NEVPT2 energy -75.532674322695 
FCI+QSE [1s,2s frozen] NEVPT2 energy -75.514752336279 
VQE(Ry) energy (I) -75.424391790731 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.504982844087 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.504977386087 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.504928615208 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.504970472261 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.504901345726 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.505028285409 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.504986517594 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.504912428105 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.504995364962 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.504955575767 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.505010754253 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.505023563309 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.505021987106 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.504940866845 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.504977280737 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.505002739361 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.505031988332 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.504996169357 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.504971658165 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.504968655056 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.504942475818 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.504979507591 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.504974763334 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.504956741168 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.504928608510 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.504969156398 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.504998310416 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.504989656213 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.504974762854 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.505031888560 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.504936752210 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.505009090909 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.505093324385 
