IAO, [1s,2s frozen] SCF energy -75.414092443026 
IAO, [1s,2s frozen] FCI energy -75.424405438845 
FULL, [1s,2s frozen] SCF energy -75.414692482011 
FULL, [1s,2s frozen] FCI energy nan 
FCI+FCI [1s,2s frozen] NEVPT2 energy -75.532674322695 
FCI+QSE [1s,2s frozen] NEVPT2 energy -75.514752336279 
VQE(Ry) energy (I) -75.424391790731 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.507805603590 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.507728939127 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.507778259539 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.507776625565 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.507735041984 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.507737584445 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.507729515742 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.507723419807 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.507781164805 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.507729520918 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.507809445212 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.507753885275 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.507740080569 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.507708056164 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.507695337785 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.507753408962 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.507678579920 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.507747034037 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.507768295807 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.507719373208 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.507778679810 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.507712429071 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.507787594428 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.507758784537 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.507743113042 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.507786565416 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.507802276863 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.507724752888 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.507762124899 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.507763511811 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.507683801565 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.507699264119 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.507768677369 
