IAO, [1s,2s frozen] SCF energy -75.414092443026 
IAO, [1s,2s frozen] FCI energy -75.424405438845 
FULL, [1s,2s frozen] SCF energy -75.414692482011 
FULL, [1s,2s frozen] FCI energy nan 
FCI+FCI [1s,2s frozen] NEVPT2 energy -75.532674322695 
FCI+QSE [1s,2s frozen] NEVPT2 energy -75.514752336279 
VQE(Ry) energy (I) -75.424391790731 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.511115833503 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.511121018411 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.511073495851 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.511111846005 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.511171712505 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.511055604443 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.511058886018 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.511090848933 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.511060332016 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.511102111327 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.511105772311 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.511080575077 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.511093691466 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.511100952396 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.511101644727 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.511088841242 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.511085692469 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.511082388136 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.511068161908 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.511075491234 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.511090309940 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.511099824577 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.511067868790 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.511127746532 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.511090265338 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.511058413817 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.511100379540 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.511134405229 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.511081681325 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.511104276855 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.511077428893 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.511087249860 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.511120317014 
