IAO, [1s,2s frozen] SCF energy -75.414092443026 
IAO, [1s,2s frozen] FCI energy -75.424405438845 
FULL, [1s,2s frozen] SCF energy -75.414692482011 
FULL, [1s,2s frozen] FCI energy nan 
FCI+FCI [1s,2s frozen] NEVPT2 energy -75.532674322695 
FCI+QSE [1s,2s frozen] NEVPT2 energy -75.514752336279 
VQE(Ry) energy (I) -75.424391790731 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.500753427231 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.500617922567 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.500746312757 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.500757649743 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.500740247134 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.500731056208 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.500717911751 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.500718665481 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.500738799165 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.500675959519 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.500679787658 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.500743211080 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.500693800669 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.500727980732 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.500715318145 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.500694896553 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.500715314925 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.500714327245 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.500751269589 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.500679706547 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.500727314774 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.500704924858 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.500689946255 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.500799264646 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.500698370536 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.500712868796 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.500748305158 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.500667300180 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.500686524677 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.500743880494 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.500699510329 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.500760290564 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.500696352073 
