IAO, [1s,2s frozen] SCF energy -75.414092443026 
IAO, [1s,2s frozen] FCI energy -75.424405438845 
FULL, [1s,2s frozen] SCF energy -75.414692482011 
FULL, [1s,2s frozen] FCI energy nan 
FCI+FCI [1s,2s frozen] NEVPT2 energy -75.532674322695 
FCI+QSE [1s,2s frozen] NEVPT2 energy -75.514752336279 
VQE(Ry) energy (I) -75.424391790731 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.509565212509 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.509529755898 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.509533859473 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.509578904920 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.509530265561 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.509605519217 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.509630073107 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.509570689930 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.509605153839 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.509520847843 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.509532909273 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.509609414785 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.509589811025 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.509569251298 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.509530597802 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.509563231798 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.509551218247 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.509650718225 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.509480476227 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.509487527504 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.509609591052 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.509645438525 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.509581397391 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.509582328658 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.509495917360 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.509671550650 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.509637684237 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.509590842362 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.509517606320 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.509508194798 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.509553726739 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.509618462284 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.509503300784 
