IAO, [1s,2s frozen] SCF energy -75.414092443026 
IAO, [1s,2s frozen] FCI energy -75.424405438845 
FULL, [1s,2s frozen] SCF energy -75.414692482011 
FULL, [1s,2s frozen] FCI energy nan 
FCI+FCI [1s,2s frozen] NEVPT2 energy -75.532674322695 
FCI+QSE [1s,2s frozen] NEVPT2 energy -75.514752336279 
VQE(Ry) energy (I) -75.424391790731 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.510214174080 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.510177563889 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.510147180346 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.510230582166 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.510169792289 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.510208720575 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.510159584633 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.510155830605 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.510193113324 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.510175244569 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.510175370804 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.510223423301 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.510154648184 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.510184012474 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.510154481026 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.510154692062 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.510247999632 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.510144708152 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.510197009165 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.510182674145 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.510133605064 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.510190851001 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.510173849951 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.510177928228 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.510175691377 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.510145040747 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.510199599919 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.510200031110 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.510190877778 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.510133858237 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.510157082597 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.510241470850 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.510171939727 
