IAO, [1s,2s frozen] SCF energy -75.414092443026 
IAO, [1s,2s frozen] FCI energy -75.424405438845 
FULL, [1s,2s frozen] SCF energy -75.414692482011 
FULL, [1s,2s frozen] FCI energy nan 
FCI+FCI [1s,2s frozen] NEVPT2 energy -75.532674322695 
FCI+QSE [1s,2s frozen] NEVPT2 energy -75.514752336279 
VQE(Ry) energy (I) -75.424391790731 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.508251856577 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.508278218748 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.508250129082 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.508268252513 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.508250497979 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.508260416767 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.508256174709 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.508273726010 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.508250579908 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.508264938123 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.508269944271 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.508274788605 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.508235811537 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.508273693986 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.508292988590 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.508264999475 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.508293566278 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.508247794592 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.508279830845 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.508244825658 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.508261706651 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.508307690958 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.508262945015 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.508227653428 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.508254949394 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.508255362162 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.508256396481 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.508252667709 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.508256408408 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.508270322847 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.508247983757 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.508265259494 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.508279413228 
