IAO, [1s,2s frozen] SCF energy -75.414092443026 
IAO, [1s,2s frozen] FCI energy -75.424405438845 
FULL, [1s,2s frozen] SCF energy -75.414692482011 
FULL, [1s,2s frozen] FCI energy nan 
FCI+FCI [1s,2s frozen] NEVPT2 energy -75.532674322695 
FCI+QSE [1s,2s frozen] NEVPT2 energy -75.514752336279 
VQE(Ry) energy (I) -75.424391790731 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.511540347007 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.511579720198 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.511535668800 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.511559988080 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.511544794401 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.511559572430 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.511574668994 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.511521610598 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.511523267125 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.511539019383 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.511591560245 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.511560504802 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.511567409155 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.511552627959 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.511537659746 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.511552741923 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.511553820687 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.511519622872 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.511530351975 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.511562009471 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.511514537564 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.511536700894 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.511558827890 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.511553914884 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.511517002461 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.511562252752 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.511531764554 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.511561615768 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.511536387175 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.511560458170 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.511552277483 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.511542344386 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.511534139379 
