IAO, [1s,2s frozen] SCF energy -75.414092443026 
IAO, [1s,2s frozen] FCI energy -75.424405438845 
FULL, [1s,2s frozen] SCF energy -75.414692482011 
FULL, [1s,2s frozen] FCI energy nan 
FCI+FCI [1s,2s frozen] NEVPT2 energy -75.532674322695 
FCI+QSE [1s,2s frozen] NEVPT2 energy -75.514752336279 
VQE(Ry) energy (I) -75.424391790731 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.505409575801 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.505381146574 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.505378616280 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.505321865798 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.505353837143 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.505406407080 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.505399372083 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.505388407606 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.505364099722 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.505378755513 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.505352851505 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.505406091813 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.505362787992 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.505430149457 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.505321206681 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.505351974922 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.505358884190 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.505328680721 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.505307732489 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.505372163610 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.505383133346 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.505325098365 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.505379046104 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.505364696498 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.505369667586 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.505363310490 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.505429093022 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.505371187636 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.505348188812 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.505365312775 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.505371179076 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.505403561325 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.505367142234 
