IAO, [1s,2s frozen] SCF energy -75.414092443026 
IAO, [1s,2s frozen] FCI energy -75.424405438845 
FULL, [1s,2s frozen] SCF energy -75.414692482011 
FULL, [1s,2s frozen] FCI energy nan 
FCI+FCI [1s,2s frozen] NEVPT2 energy -75.532674322694 
FCI+QSE [1s,2s frozen] NEVPT2 energy -75.514752336279 
VQE(Ry) energy (I) -75.424391790731 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.506836374653 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.506792898635 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.506795057916 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.506854254796 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.506825786389 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.506863083591 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.506881093414 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.506892049047 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.506858628682 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.506823385814 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.506825791405 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.506781117032 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.506798323339 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.506791619410 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.506841561425 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.506858643220 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.506770775947 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.506792210155 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.506866541595 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.506863199864 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.506816650361 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.506791560938 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.506839646816 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.506866630590 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.506847764064 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.506863850264 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.506800992346 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.506892896432 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.506844245768 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.506792703649 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.506848679931 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.506802045715 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.506902921796 
