IAO, [1s,2s frozen] SCF energy -75.414092443026 
IAO, [1s,2s frozen] FCI energy -75.424405438845 
FULL, [1s,2s frozen] SCF energy -75.414692482011 
FULL, [1s,2s frozen] FCI energy nan 
FCI+FCI [1s,2s frozen] NEVPT2 energy -75.532674322694 
FCI+QSE [1s,2s frozen] NEVPT2 energy -75.514752336279 
VQE(Ry) energy (I) -75.424391790731 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.505378218792 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.505457875801 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.505416937375 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.505314427767 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.505460072323 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.505480147573 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.505494099602 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.505379318029 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.505460087993 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.505410316672 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.505416337348 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.505498343820 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.505425201268 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.505491293694 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.505382929504 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.505469889965 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.505519531890 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.505405024321 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.505483731673 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.505412539933 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.505395301908 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.505441832339 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.505376192804 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.505358385499 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.505607384578 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.505418078676 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.505442301759 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.505489001900 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.505518623128 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.505535208366 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.505294898965 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.505490421068 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.505430824953 
