IAO, [1s,2s frozen] SCF energy -75.409656204013 
IAO, [1s,2s frozen] FCI energy -75.423072402089 
FULL, [1s,2s frozen] SCF energy -75.409656204028 
FULL, [1s,2s frozen] FCI energy nan 
FCI+FCI [1s,2s frozen] NEVPT2 energy -75.591989629100 
FCI+QSE [1s,2s frozen] NEVPT2 energy -75.564603335520 
VQE(Ry) energy (I) -75.422678774158 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.560393129931 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.562601913507 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.560466690172 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.560468437726 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.560390165363 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.562153992589 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.560432822516 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.560450335800 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.560341737538 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.562442990749 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.560450730867 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.560354625101 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.560423196147 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.560475704658 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.560373605881 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.560392112805 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.560402320279 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.560354901423 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.560349152641 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.560407547563 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.560371669535 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.562381598379 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.560345034730 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.560587733634 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.560347688748 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.560494904549 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.560464395573 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.562382232775 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.560509315849 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.560438523277 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.560522242155 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.560457254533 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.562440197610 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.562417933121 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.560422930834 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.560554035126 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.560435316820 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.562547859251 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.562336270511 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.562416120531 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.560506655123 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.560384965530 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.560327961568 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.562519191783 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.562640809871 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.562418612794 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.560603850107 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.560371037413 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.560567915398 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.562552351973 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.560413756411 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.562458286549 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.562466713954 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.560447463069 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.560462247277 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.562514157721 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.560498707416 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.560392336811 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.560400135823 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.560376297242 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.562283322182 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.560409074173 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.560376128939 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.560514188378 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.560379552778 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.560540556462 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.560385861665 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.562502150635 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.562531030829 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.560341433202 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.560437564911 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.560343666129 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.560616720781 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.560296340414 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.560405511855 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.560337251348 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.562460845945 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.560333480153 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.560327395220 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.560429637699 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.562149983415 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.562147916901 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.560491930977 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.560450664183 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.560454918075 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.560415044869 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.560326282136 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.560466339829 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.560477999581 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.560502437456 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.560379763112 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.560423159188 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.562426778402 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.560503682923 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.560506615400 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.560475349122 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.560430255332 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.560373751646 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.560530776796 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.560382136955 
