IAO, [1s,2s frozen] SCF energy -75.409656204013 
IAO, [1s,2s frozen] FCI energy -75.423072402089 
FULL, [1s,2s frozen] SCF energy -75.409656204027 
FULL, [1s,2s frozen] FCI energy nan 
FCI+FCI [1s,2s frozen] NEVPT2 energy -75.591989629100 
FCI+QSE [1s,2s frozen] NEVPT2 energy -75.564603335520 
VQE(Ry) energy (I) -75.422678774158 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.564201754820 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.561367767038 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.556214166337 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.556645601376 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.556335963342 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558572740649 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.548678414315 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.569285063447 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.557272656027 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.393049131420 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.554023342649 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.550824101809 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.551464083531 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558248757801 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.533395825773 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.560792105877 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.619846322921 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.556693773758 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.547319877198 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.642855774249 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.555273371873 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.554946312526 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.555386714651 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.711442439529 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.557985927845 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.620766063621 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.550426170182 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559103255549 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.536364471274 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.555912090412 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553672788039 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.556827027344 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.566781456871 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.555158641190 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.594085742349 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.954088050382 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.556513475582 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.557431712921 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.555093709442 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.552344133818 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.613266232534 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.556568481230 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.570571718465 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558990589456 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559084341384 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.591778732564 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.600334230817 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.607815255607 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.611799191758 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.594505520483 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.555116157875 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.556979954289 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.555453307715 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.555164682809 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.559447536175 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.560719144371 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.556893971587 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.699217312392 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558288998826 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.591359061951 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.621944187421 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553422576325 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.555589028455 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.555642739242 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.550310370611 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.579487292192 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558928212279 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.592527426879 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.554275825028 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.555325616490 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.552432676033 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.552380383121 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.426830373065 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.554709727834 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558565441282 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.557221211702 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.639908600312 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.556752312829 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.561135679552 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.556907717535 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.550207958586 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.557707396882 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558175691603 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.556831807299 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553642686604 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.591072500437 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.550900964039 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.552830759152 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.554884246467 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.554175815589 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.557190504844 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.569193913376 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -76.064186779374 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.557130294102 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.552305282829 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.557983186859 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558669415787 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.625997759307 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.554197672733 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.554567284661 
