IAO, [1s,2s frozen] SCF energy -75.386672016645 
IAO, [1s,2s frozen] FCI energy -75.391229720673 
FULL, [1s,2s frozen] SCF energy -75.386672016646 
FULL, [1s,2s frozen] FCI energy nan 
FCI+FCI [1s,2s frozen] NEVPT2 energy -75.569385109888 
FCI+QSE [1s,2s frozen] NEVPT2 energy -75.551874854401 
VQE(Ry) energy (I) -75.391229534571 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.536363459607 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.535330775728 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.535153544560 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.535750561829 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.535206304337 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.535538882892 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.535523171700 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.535311383898 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.536317304522 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.535879820705 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.535455179246 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.535855775668 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.535887925065 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.536121456867 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.536069416123 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.535563085085 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.536061202692 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.535052569984 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.535529773833 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.535134421093 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.535256879051 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.536081109453 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.535780385103 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.535815665173 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.535387318089 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.535379720139 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.535537768970 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.536660640492 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.535801241458 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.535514854230 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.535492212643 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.535208024354 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.535569118672 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.535757127542 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.535333086562 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.535538660000 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.535018797380 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.535256721226 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.535458340164 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.535515326495 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.535306374310 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.535908776455 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.535987442966 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.535835470889 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.535229290025 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.535211730849 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.535646130009 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.535767689919 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.535284665763 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.534819459650 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.535696274962 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.535550376390 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.535929810816 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.535510617672 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.535538950111 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.535109008136 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.535411577305 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.535501947324 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.535409591086 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.535176770118 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.535204117499 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.535944263852 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.535532840688 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.535498008676 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.534573803532 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.536127049650 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.535244403237 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.535290605588 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.535889090726 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.535406416743 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.535014611759 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.535040076021 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.535416571577 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.535563447198 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.535431462515 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.535483355209 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.534931272775 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.535373355418 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.536370831083 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.535814622059 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.535240545558 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.534751489118 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.535368296325 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.536052386627 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.535794130957 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.535371942392 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.535501311307 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.535659662849 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.536033315099 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.535924890494 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.536639291430 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.535497458369 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.536219768902 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.536308770772 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.535686749822 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.535842319363 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.534861431496 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.535082730645 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.535105849928 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.535403436432 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy ---- FINAL AVERAGE ---- -75.535557969511 +/- 0.000398912630 
