IAO, [1s,2s frozen] SCF energy -75.415336940065 
IAO, [1s,2s frozen] FCI energy -75.423459681447 
FULL, [1s,2s frozen] SCF energy -75.415336940066 
FULL, [1s,2s frozen] FCI energy nan 
FCI+FCI [1s,2s frozen] NEVPT2 energy -75.602493653272 
FCI+QSE [1s,2s frozen] NEVPT2 energy -75.579462436737 
VQE(Ry) energy (I) -75.423459214214 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.566322718896 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.566074361215 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.565825615944 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.566276421451 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.566481470882 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.566017984522 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.566176288859 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.566842979309 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.566072972954 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.565733713667 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.565290731193 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.565096491589 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.566160780169 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.566528121670 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.565377289286 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.565728678325 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.565729984553 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.565850726828 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.567360955206 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.565359262456 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.565948768760 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.566107250719 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.565854197492 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.566558559718 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.566333411186 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.566720395194 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.566739201000 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.567268515856 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.566235805181 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.566614766061 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.565918165677 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.565972045342 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.566342610573 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.565230363971 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.566170947452 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.566522440440 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.565375713489 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.566189982950 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.566646609682 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.565677813718 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.566147514872 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.566114290730 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.565917574790 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.567027153139 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.565828452357 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.567465979808 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.566814998595 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.566434288720 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.565540779125 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.565890542777 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.565779137682 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.566028083728 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.566475926933 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.565926101751 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.565946974450 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.565295896015 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.566491796263 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.566504397382 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.566544677180 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.566219924523 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.566125938724 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.566224584675 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.565797021984 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.566244548019 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.566351903651 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.565898909342 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.565821111915 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.566857547027 
