IAO, [1s,2s frozen] SCF energy -75.415336940065 
IAO, [1s,2s frozen] FCI energy -75.423459681447 
FULL, [1s,2s frozen] SCF energy -75.415336940066 
FULL, [1s,2s frozen] FCI energy nan 
FCI+FCI [1s,2s frozen] NEVPT2 energy -75.602493653272 
FCI+QSE [1s,2s frozen] NEVPT2 energy -75.579462436737 
VQE(Ry) energy (I) -75.423459214214 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.572047958275 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.571874890422 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.571884628463 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.571632227878 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.571875993476 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.571739555723 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.571557533516 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.571729448673 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.571771182004 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.572008948369 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.571963503319 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.571592755356 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.571820337653 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.571823977619 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.572062120047 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.571702625387 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.572013969998 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.571830078235 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.572008373998 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.571969564254 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.571712898938 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.572009052511 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.571903835857 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.571797304878 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.571768106014 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.571655705968 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.571754540314 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.571968017740 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.572082820300 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.571869135233 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.571739046798 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.571917531380 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.571864349510 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.571791548692 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.572064117748 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.571780742433 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.571967807517 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.571838857555 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.572026082870 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.571832640561 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.571661081986 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.571825892541 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.571799264550 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.571762494896 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.571652425001 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.571686442220 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.571813484957 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.571918659444 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.571893743191 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.571715183752 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.571878053791 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.571903896491 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.572104484330 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.571789074870 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.571758339931 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.571716029578 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.571761267370 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.571742893453 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.571605416385 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.571771291989 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.571774820282 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.571767338309 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.571654231618 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.571988716390 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.571776287289 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.571690554138 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.571873936827 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.571711720339 
