IAO, [1s,2s frozen] SCF energy -75.414352238430 
IAO, [1s,2s frozen] FCI energy -75.427755483836 
FULL, [1s,2s frozen] SCF energy -75.414352238434 
FULL, [1s,2s frozen] FCI energy nan 
FCI+FCI [1s,2s frozen] NEVPT2 energy -75.605781372820 
FCI+QSE [1s,2s frozen] NEVPT2 energy -75.578229924733 
VQE(Ry) energy (I) -75.427099550640 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.557652165560 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.557133033732 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558716909337 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558680168676 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.557131133732 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.557953167507 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558331374681 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.557960012838 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.557406290192 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.557720647370 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.557483978684 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.557802601054 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.557727671600 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.557408848471 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.557472411188 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.557167251453 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.557616620960 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.557792565084 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.557958772333 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.557402776986 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.557365248707 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558428843748 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558072624784 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.557604458388 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.556971087318 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558554705289 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.557941024548 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.557431600317 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.557660031992 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.557364527871 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558109220623 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.557794002390 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.557918000190 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.557801181274 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.557536146467 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.557470958191 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558000464952 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558409021009 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.557644422828 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558767177364 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.557084643254 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.556950433439 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.557737106339 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558239406645 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.557913089481 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.557514518846 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.557297693447 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.557252921516 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.557139412864 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.557720831998 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.557742213782 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.557272431545 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.557966360753 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.557888411275 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.557713289389 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.557701765217 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.557993274743 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558308756879 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558659953775 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.557381218473 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.557703130829 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558318241837 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558126873737 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558009493359 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558023726801 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.556828828507 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.556990212106 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.557564923593 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.557241149548 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.557994014875 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558059905140 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.557626125473 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.557205771716 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558105720081 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.557692044154 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.557143444731 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558247369659 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.557495263126 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558198652174 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558091373162 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558219975843 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558662048692 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.557698435763 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.557320070401 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558317814792 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558088113213 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.557383848111 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558415363715 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558640621669 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.558174842343 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.557746241090 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.557953849204 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.557961389141 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.557876413537 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.557357798062 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.557934269862 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.557637913619 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.557677678119 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.557615673173 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.557059585504 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy ---- FINAL AVERAGE ---- -75.557772490938 +/- 0.000444778220 
