IAO, [1s,2s frozen] SCF energy -75.414352238430 
IAO, [1s,2s frozen] FCI energy -75.427755483836 
FULL, [1s,2s frozen] SCF energy -75.414352238434 
FULL, [1s,2s frozen] FCI energy nan 
FCI+FCI [1s,2s frozen] NEVPT2 energy -75.605781372820 
FCI+QSE [1s,2s frozen] NEVPT2 energy -75.578229924733 
VQE(Ry) energy (I) -75.427099550640 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.572867989140 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.572923471921 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.572822233130 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.572985078278 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.572773548217 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.572815420846 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.572801475612 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.572959053479 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.572849312715 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.572859055126 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.572762883142 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.572803601978 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.572851412427 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.572824485154 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.572868155696 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.573001468177 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.572839772747 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.572787747154 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.572848584705 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.572925626223 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.572782168084 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.572954098856 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.572880427163 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.572876857588 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.572888167386 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.572826030501 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.572892890252 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.572873549102 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.572775955253 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.572772674160 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.572970572261 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.572874532716 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.572898690019 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.572831424710 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.572974625082 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.572872016754 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.572806822920 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.572807087529 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.572807465737 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.572843336916 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.572857213196 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.572857704365 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.572888328228 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.572850459648 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.572914253459 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.572831412268 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.572930608438 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.572899726938 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.572840714837 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.572948790828 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.572899503686 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.572883441381 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.572883410816 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.572882195104 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.572820085762 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.572785059342 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.572808683181 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.572833209154 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.572929998455 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.572863510824 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.572811736275 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.572882482679 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.572905048141 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.572916208760 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.572906945309 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.572757149743 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.572872295788 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.572897362157 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.572823540698 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.572880788534 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.572940457478 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.572969198205 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.572840006881 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.572821417302 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.572877150409 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.572933933857 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.572879692119 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.572930262765 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.572955773269 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.572845035007 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.572973157626 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.572820497750 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.572924123753 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.572953435330 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.572863103329 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.572933686122 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.572867842729 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.572935910152 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.572959332940 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.572852771459 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.572916852253 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.572850612419 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.572903893173 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.572885421748 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.572897163245 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.572908986306 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.572805130596 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.572825995996 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.572873411216 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.572951730160 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy ---- FINAL AVERAGE ---- -75.572873376224 +/- 0.000056054392 
