IAO, [1s,2s frozen] SCF energy -75.387369461002 
IAO, [1s,2s frozen] FCI energy -75.390828130287 
FULL, [1s,2s frozen] SCF energy -75.388043970555 
FULL, [1s,2s frozen] FCI energy nan 
FCI+FCI [1s,2s frozen] NEVPT2 energy -75.507955499555 
FCI+QSE [1s,2s frozen] NEVPT2 energy -75.493771343750 
VQE(Ry) energy (I) -75.390827671423 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.489521604954 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.489668866750 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.489343098623 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.489497067256 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.489621600065 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.489398321021 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.489775452854 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.489717416310 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.489493111454 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.489456184854 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.489699896037 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.489543802605 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.489410223607 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.489585800550 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.489419699412 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.489437041620 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.489607855380 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.489514102161 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.489639378383 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.489584866680 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.489416236934 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.489543709583 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.489438027238 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.489516956433 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.489788093431 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.489725406240 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.489500943569 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.489552252878 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.489490596257 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.489664708520 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.489448025958 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.489625376221 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.489538339868 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.489622598381 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.489425918308 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.489744503883 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.489336084483 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.489600243045 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.489667974602 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.489780734599 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.489741969093 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.489613283844 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.489508220330 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.489616975188 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.489572278475 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.489600666829 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.489716240745 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.489487580840 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.489596048272 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.489432970388 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.489462629313 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.489624313516 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.489661819209 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.489448616204 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.489573139540 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.489678476646 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.489793722190 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.489553721277 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.489409376105 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.489495007178 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.489557649993 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.489609660657 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.489710919602 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.489597992154 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.489490850756 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.489539299710 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.489563770347 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.489595001791 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.489686699766 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.489671767490 
