IAO, [1s,2s frozen] SCF energy -75.418323604237 
IAO, [1s,2s frozen] FCI energy -75.424586022122 
FULL, [1s,2s frozen] SCF energy -75.419013516018 
FULL, [1s,2s frozen] FCI energy nan 
FCI+FCI [1s,2s frozen] NEVPT2 energy -75.541326304273 
FCI+QSE [1s,2s frozen] NEVPT2 energy -75.524824057196 
VQE(Ry) energy (I) -75.424580529266 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.512610931756 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.511634944495 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.511712865338 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.511937186231 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.511779048895 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.513508678509 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.512015832622 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.512077765220 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.511784129667 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.512629728931 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.511698843266 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.512004176767 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.511294521237 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.512051335599 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.511754553216 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.511798391794 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.512019180162 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.512194695161 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.512193937565 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.512280734993 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.512927679008 
