IAO, [1s,2s frozen] SCF energy -75.418323604237 
IAO, [1s,2s frozen] FCI energy -75.424586022122 
FULL, [1s,2s frozen] SCF energy -75.419013516018 
FULL, [1s,2s frozen] FCI energy nan 
FCI+FCI [1s,2s frozen] NEVPT2 energy -75.541326304273 
FCI+QSE [1s,2s frozen] NEVPT2 energy -75.524824057196 
VQE(Ry) energy (I) -75.424580529266 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.520874402794 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.520910903900 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.520902458663 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.520949588750 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.520917401571 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.520952451961 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.520912561500 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.520925325302 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.520930501928 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.520947652459 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.520916908323 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.520901092510 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.520921504840 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.520915194651 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.520945127706 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.520873663880 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.520851216805 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.520974182840 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.520866995942 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.520922208488 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.520915015145 
