IAO, [1s,2s frozen] SCF energy -75.418857661545 
IAO, [1s,2s frozen] FCI energy -75.429295360549 
FULL, [1s,2s frozen] SCF energy -75.419540965295 
FULL, [1s,2s frozen] FCI energy nan 
FCI+FCI [1s,2s frozen] NEVPT2 energy -75.544774110222 
FCI+QSE [1s,2s frozen] NEVPT2 energy -75.526427319855 
VQE(Ry) energy (I) -75.429295052271 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.525620975264 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.525883011727 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.525939632821 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.525835554442 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.525713789447 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.525683526933 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.525606205677 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.525973200953 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.525871235752 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.526098654650 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.525760991169 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.525913748416 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.526026157654 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.525631434759 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.525806614014 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.525609761628 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.525542590638 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.525771827441 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.525746757966 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.525779482669 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.525858997907 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.525655074273 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.525828777978 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.525824564331 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.525558546586 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.525696513235 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.525900451683 
