IAO, [1s,2s frozen] SCF energy -75.403962422817 
IAO, [1s,2s frozen] FCI energy -75.419870574530 
FULL, [1s,2s frozen] SCF energy -75.404611090951 
FULL, [1s,2s frozen] FCI energy nan 
FCI+FCI [1s,2s frozen] NEVPT2 energy -75.533114835871 
FCI+QSE [1s,2s frozen] NEVPT2 energy -75.513816510563 
VQE(Ry) energy (I) -75.419866263003 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.503262237946 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.503164347440 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.503324459740 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.503167215393 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.503327965254 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.503277594808 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.503245559236 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.503310034122 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.503313403398 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.503129453083 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.503422633962 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.503190511053 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.503208668195 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.503140717889 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.503522368008 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.503293562915 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.503211799406 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.503225210529 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.503353415338 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.503285994856 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.503298306709 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.503229922956 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.503278622180 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.503193912962 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.503219360568 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.503355226343 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.503303609725 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.503348564857 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.503059342769 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.503301181598 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.503230868417 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.503543344452 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.503177445740 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.503278997469 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.503292430760 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.503147700971 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.503333829541 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.503302392115 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.503229769555 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.503049461750 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.503345233437 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.503088213874 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.503115556986 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.503442657462 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.503067000512 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.503067173435 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.503125166230 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.503393736076 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.503186660833 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.503276689857 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.503328612099 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.503227152759 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.503472296070 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.503162302301 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.503408844996 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.503157608093 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.503261635417 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.503129414125 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.503251764399 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.503263616555 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.503186351660 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.503371752882 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.503350028175 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.503230885800 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.503322372795 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.503281793645 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.503042119986 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.503197546468 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.503066592574 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.503338947058 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.503170286424 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.503227027801 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.503291155149 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.503217668819 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.503220265293 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.503301494515 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.503286161223 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.503240728751 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.503215474796 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.503239109292 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.503204893627 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.503191475771 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.503254229578 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.503248942389 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.503433032853 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.503283671639 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.503266113496 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.503413547719 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.503362727309 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.503166673866 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.503320418925 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.503376931327 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.503124606572 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.503271837853 
