IAO, [1s,2s frozen] SCF energy -75.381365401466 
IAO, [1s,2s frozen] FCI energy -75.403896323038 
FULL, [1s,2s frozen] SCF energy -75.382241315002 
FULL, [1s,2s frozen] FCI energy nan 
FCI+FCI [1s,2s frozen] NEVPT2 energy -75.514849894318 
FCI+QSE [1s,2s frozen] NEVPT2 energy -75.495409211111 
VQE(Ry) energy (I) -75.403887979342 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.486797841442 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.486909120910 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.487047794176 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.486979036812 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.486724615507 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.487341157451 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.487058108651 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.486785978249 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.486827153601 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.486929703676 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.487093634615 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.487008435418 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.487013978227 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.486975966876 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.487111666990 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.486993824080 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.486838501800 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.486931677494 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.486688096662 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.486814207215 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.486774788033 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.486741749860 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.486729615171 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.487127398947 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.486830519262 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.487029433130 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.486704573122 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.486896924975 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.486897032966 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.487250787300 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.487119191741 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.486711987023 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.486908135120 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.486726464795 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.487081146882 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.486839095847 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.486751108176 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.486851290274 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.487096442519 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.486933873731 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.486696003030 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.486787024886 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.487075737782 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.487083583243 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.486589784968 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.486820878778 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.486732318012 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.486754440401 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.486422881522 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.486756767148 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.487148536373 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.486901463432 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.486602879174 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.486902575836 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.486745829100 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.486834953053 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.486989349531 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.486825509842 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.486767628759 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.486952241131 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.486978935436 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.486975415350 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.486810958610 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.486818131549 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.486948154237 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.486869567589 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.486840454792 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.486689221219 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.486822715246 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.486916044908 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.486904199900 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.486915723412 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.486953474154 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.487056898915 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.487047535763 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.486934443800 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.486988920076 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.486875754591 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.487244702734 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.486819476120 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.486849932801 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.486882514522 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.486568104960 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.486930216310 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.486825833814 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.487045678886 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.486937842027 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.487007004825 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.487041384271 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.486894138832 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.486678441067 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.487005003425 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.486848539589 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.486918767665 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.486776433167 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.486910938303 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.486739838255 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.486744929901 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.486930282051 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.487042414241 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy ---- FINAL AVERAGE ---- -75.486892514120 +/- 0.000152383989 
