IAO, [1s,2s frozen] SCF energy -75.381278919377 
IAO, [1s,2s frozen] FCI energy -75.385847082496 
FULL, [1s,2s frozen] SCF energy -75.381278919383 
FULL, [1s,2s frozen] FCI energy nan 
FCI+FCI [1s,2s frozen] NEVPT2 energy -75.554474937719 
FCI+QSE [1s,2s frozen] NEVPT2 energy -75.537092414871 
VQE(Ry) energy (I) -75.385847047073 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.533364231407 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.533343207503 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.532934618511 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.533309209510 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.533227866372 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.533251256131 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.533260731597 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.533791191175 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.533714043304 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.533312858688 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.533210930699 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.533781317672 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.533830254797 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.533244833775 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.532989298130 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.533333251258 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.533682388240 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.533200490270 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.533272618654 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.533019826972 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.533990222351 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.533333676610 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.533372065169 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.533273001025 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.533441711281 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.533223435772 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.534333923750 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.533132846852 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.533164985523 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.533181346164 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.533660561734 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.533782759964 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.532925139405 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.533759346529 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.533272126135 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.533189675310 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.533072629511 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.533018602592 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.533800444027 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.533133647900 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.533278981765 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.533749205672 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.533773287007 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.532767933604 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.533146383288 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.532770741730 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.533107264485 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.534024253311 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.533471835813 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.532755818434 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.533332311957 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.532693643667 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.533132099225 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.533453239025 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.532671911557 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.533232433303 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.533124480620 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.533187280462 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.533161267622 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.533134365979 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.532903674207 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.533401938779 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.533525187920 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.533256188720 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.533118150902 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.533080796870 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.533758913907 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.533425941491 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.533206169437 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.533097886340 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.533223608551 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.533249473888 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.533480255188 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.533197668546 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.533280977006 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.533034651319 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.533330355152 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.533162226595 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.533172244091 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.533339505886 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.533776512280 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.532616975595 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.533292275101 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.533272567317 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.532993096816 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.532765126618 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.533328539845 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.533555343999 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.532861904692 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.533170175454 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.533167071111 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.533446490350 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.533274915482 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.533333691096 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.533086184257 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.533225504717 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.533261133436 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.533169892753 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.533539029101 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.533423651188 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy ---- FINAL AVERAGE ---- -75.533289112068 +/- 0.000304326877 
