IAO, [1s,2s frozen] SCF energy -75.409656204013 
IAO, [1s,2s frozen] FCI energy -75.423072402089 
FULL, [1s,2s frozen] SCF energy -75.409656204028 
FULL, [1s,2s frozen] FCI energy nan 
FCI+FCI [1s,2s frozen] NEVPT2 energy -75.591989629100 
FCI+QSE [1s,2s frozen] NEVPT2 energy -75.564603335520 
VQE(Ry) energy (I) -75.422678774158 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553552615926 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553573116426 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553915739511 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553917359897 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.554227365099 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553499976002 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.554709223066 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.554154084811 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.554052217775 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.554013094688 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553768782088 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553799435111 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553600395895 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553915898626 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553628733724 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553933673591 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.554002069354 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553555947275 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553990909337 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.554123408946 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553876330826 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.554073067769 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553792319258 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553795720827 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553597196746 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553919902928 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553768295030 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.554851476980 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553644036333 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.554442021187 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.554331418863 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553569230473 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553863896933 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.552904094373 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553837285999 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.554305556202 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553537793024 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553561805110 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553896568005 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553732114793 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.554038168684 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553976639647 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553333340508 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.564429756145 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553566560104 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.554532688194 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553703090991 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553398570951 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553606128649 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553840904363 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553906962109 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553570735283 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553875599249 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553888401233 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.554197940739 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.554020649606 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.554091968747 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553844918140 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553807440589 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.554240436732 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553988920163 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553820679355 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553859322788 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.551742745810 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553839983166 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553525014824 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553298468468 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.552816678734 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553893226421 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.554131351489 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553722936043 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.555183078051 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553762845861 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553496296804 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553067526113 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553884826712 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553961605017 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553706143052 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553615527663 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553428837414 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553716082728 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553643825674 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553464402057 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553666927751 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.554079166023 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.554079979276 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553789412359 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.554252356561 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553582645808 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553838484500 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.554189615133 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553402148031 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553915239533 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553603066794 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.554038588863 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553707426200 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553869144321 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553959332272 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.554090452637 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553750856084 
