IAO, [1s,2s frozen] SCF energy -75.394499755363 
IAO, [1s,2s frozen] FCI energy -75.414784367029 
FULL, [1s,2s frozen] SCF energy -75.394499755369 
FULL, [1s,2s frozen] FCI energy nan 
FCI+FCI [1s,2s frozen] NEVPT2 energy -75.580693778132 
FCI+QSE [1s,2s frozen] NEVPT2 energy -75.550559815917 
VQE(Ry) energy (I) -75.414351947889 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.529038973033 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.529089316639 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.528817036692 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.529117512397 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.529179688884 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.529031876040 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.529062472501 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.529120946261 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.528916850587 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.528809481032 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.528933448213 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.529046637815 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.529183499571 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.529183888237 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.529216133105 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.528944688215 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.529167801737 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.528979567802 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.528943411667 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.529041595404 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.529037822645 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.529109644203 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.529103018868 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.529080298000 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.528986073835 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.528971693864 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.529261815971 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.529170521951 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.529147922237 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.529073860253 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.528980152167 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.528968641920 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.529133808641 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.529216567079 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.529080869727 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.529139887218 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.528915795511 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.528999895316 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.529062338296 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.529079429571 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.529286642890 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.529153616070 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.529198431096 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.528989635060 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.529259977781 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.529182451410 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.528985958725 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.529187513582 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.529121676514 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.529284721487 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.529078964756 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.528936112316 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.529014171117 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.529220885009 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.529040722436 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.529172610225 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.529152299709 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.528979650460 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.529011496304 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.529150031579 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.529242986567 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.529360061302 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.529230072760 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.529250259304 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.529151369920 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.529179876215 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.529022750189 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.529236629874 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.528970516689 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.528942750983 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.529022012209 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.529077271514 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.528930279887 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.528962794190 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.528990542483 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.529241882490 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.528852106029 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.528914115299 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.529115566381 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.529291183186 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.529105166070 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.529216555690 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.528989368156 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.528909406583 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.528982536435 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.528991284050 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.529229658779 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.528945294226 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.529072437779 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.529172129484 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.529232853583 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.528920459579 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.529265589119 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.529174227673 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.528945539368 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.529033064877 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.528932844265 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.528933852074 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.529044919475 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.528853538520 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy ---- FINAL AVERAGE ---- -75.529076882049 +/- 0.000121347108 
