IAO, [1s,2s frozen] SCF energy -75.373179124435 
IAO, [1s,2s frozen] FCI energy -75.401332900666 
FULL, [1s,2s frozen] SCF energy -75.373179124469 
FULL, [1s,2s frozen] FCI energy nan 
FCI+FCI [1s,2s frozen] NEVPT2 energy -75.562441321536 
FCI+QSE [1s,2s frozen] NEVPT2 energy -75.531426294568 
VQE(Ry) energy (I) -75.401332763592 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.531067394829 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.569501519276 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.528527942320 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.537020283767 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.528844044907 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.528471254562 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.529148481612 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.529013205586 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.528575276942 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.528450531695 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.528765374477 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.528754144369 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.528298275353 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.529567613344 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.528383716046 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.529875981478 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.528275253353 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.528378405243 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.529627754247 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.528549243672 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.529076943480 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.529371261943 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.534796759462 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.529184414127 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.529683671727 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.528400655289 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.530039316960 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.529031977251 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.529532926282 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.528590357528 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.529243606726 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.529371970792 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.529841162150 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.528210721025 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.528993731687 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.528093724517 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.529160818400 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.528575245366 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.529445473668 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.530132152655 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.529052187607 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.528691607911 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.528192970883 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.530253307706 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.531292786753 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.530098281863 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.528254519960 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.529140887270 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.528873917977 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.529264756374 
