IAO, [1s,2s frozen] SCF energy -75.373179124435 
IAO, [1s,2s frozen] FCI energy -75.401332900666 
FULL, [1s,2s frozen] SCF energy -75.373179124469 
FULL, [1s,2s frozen] FCI energy nan 
FCI+FCI [1s,2s frozen] NEVPT2 energy -75.562441321536 
FCI+QSE [1s,2s frozen] NEVPT2 energy -75.531426294568 
VQE(Ry) energy (I) -75.401332763592 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.526219029629 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.526254943045 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.526206201740 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.526254756959 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.526159920785 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.526159535456 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.526162870556 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.526181883311 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.526165492358 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.526108277003 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.526154425414 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.526244221823 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.526144337733 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.526258308149 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.526195609607 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.526233927477 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.526220417194 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.526181046072 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.526234605776 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.526153370161 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.526183005733 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.526185788574 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.526134793989 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.526160461023 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.526196451574 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.526239641373 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.526259989984 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.526172425066 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.526164706917 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.526115160180 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.526173613987 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.526198998835 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.526205420086 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.526193381704 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.526211467669 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.526133956169 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.526209768169 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.526205474849 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.526169937713 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.526143338403 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.526150198322 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.526301723089 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.526183494696 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.526214132847 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.526231877738 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.526152360448 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.526218476115 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.526256442117 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.526238787068 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.526205478178 
