IAO, [1s,2s frozen] SCF energy -75.381857156279 
IAO, [1s,2s frozen] FCI energy -75.385324352805 
FULL, [1s,2s frozen] SCF energy -75.382516628013 
FULL, [1s,2s frozen] FCI energy nan 
FCI+FCI [1s,2s frozen] NEVPT2 energy -75.494818918698 
FCI+QSE [1s,2s frozen] NEVPT2 energy -75.480808349887 
VQE(Ry) energy (I) -75.385321660470 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.474818051813 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.474771807414 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.474529228694 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.474581509927 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.474546781346 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.474072623216 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.474281831460 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.474707602920 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.474395333127 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.474530886971 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.474557028657 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.474896039910 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.474920096140 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.474459678212 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.475120490022 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.474829622833 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.474736669727 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.475134942146 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.474702570161 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.474667354535 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.474661224171 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.474953209914 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.474169184977 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.474871430063 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.474204996078 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.474683293439 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.474640391193 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.474491988332 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.474428612021 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.474910105751 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.474708833706 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.474089697978 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.474866423044 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.474640289497 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.474403417082 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.474795000622 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.474934671319 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.474588983652 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.474647146839 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.474534979254 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.474700136750 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.474393322282 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.474482952975 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.474945655511 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.474520121243 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.474787419938 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.474326938559 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.474729328023 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.474937168389 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.474986191747 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.474552553033 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.474137855079 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.474483614210 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.474688109645 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.474998290378 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.474556200287 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.474738421088 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.475135167638 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.475087456731 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.474267146469 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.474278280487 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.474416620643 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.474650213263 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.474660235587 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.474369738856 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.474461325453 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.474822850328 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.474511569652 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.474391690449 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.474732848461 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.474456475058 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.474644599984 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.474728908398 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.474656703137 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.474250798334 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.475068001066 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.475047495219 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.475239750888 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.474646909702 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.474601158519 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.474713934815 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.474597584342 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.474499884893 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.474407399838 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.474617924228 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.474334127657 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.474508278383 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.475299351588 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.474165035446 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.474660251697 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.475269483757 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.474274448652 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.474868800518 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.474821799785 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.474606247458 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.474390219627 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.474736726882 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.474326261075 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.474558464083 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.473966175587 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy ---- FINAL AVERAGE ---- -75.474631966519 +/- 0.000273973100 
