IAO, [1s,2s frozen] SCF energy -75.413246458500 
IAO, [1s,2s frozen] FCI energy -75.419508643905 
FULL, [1s,2s frozen] SCF energy -75.413880212946 
FULL, [1s,2s frozen] FCI energy nan 
FCI+FCI [1s,2s frozen] NEVPT2 energy -75.528796803359 
FCI+QSE [1s,2s frozen] NEVPT2 energy -75.512501003569 
VQE(Ry) energy (I) -75.419125075689 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.509866638723 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.509961116061 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.510034133685 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.509734797174 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.509674059491 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.510037663483 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.509914307275 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.509836881012 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.510060328410 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.510000667113 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.509953251390 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.510086273045 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.509829361463 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.510038989096 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.509857086610 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.510014921237 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.510133285475 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.509973774400 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.509898759761 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.510121873912 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.509885301624 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.509905911000 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.509870048235 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.509951666144 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.509932929985 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.509800044010 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.509840024340 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.510064859542 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.509823591328 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.510006023937 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.509832571868 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.510155754716 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.509827133800 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.509868502147 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.509816134419 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.510268017300 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.509990771331 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.510090238902 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.509966632890 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.509908688131 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.509843339749 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.509811864688 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.509996231882 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.510066111658 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.509789572715 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.509984148819 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.509887255690 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.509736634558 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.509609696799 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.510105900140 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.509860113010 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.509940692538 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.510064349065 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.509794671520 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.509718833949 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.509791983118 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.509865424932 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.509910621831 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.509882416206 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.509970859385 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.510011555990 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.509879955117 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.509869102443 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.509786109266 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.509740594151 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.509870797153 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.509976525747 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.510147937929 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.509990524646 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.510053234715 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.509847472863 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.509835179202 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.510008077177 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.509960764473 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.509981833805 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.509921273783 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.509648449420 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.510236952547 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.509836753854 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.509974805020 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.509861046157 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.509786891310 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.510030380604 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.510039275601 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.509937601348 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.509711977249 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.510008598485 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.509981863288 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.509918923359 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.509836977930 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.509927196330 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.510066792367 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.509887537462 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.510101701726 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.509803840574 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.510008039736 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.509949332096 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.510053765305 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.509815949970 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.510034443936 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy ---- FINAL AVERAGE ---- -75.509928037708 +/- 0.000123726740 
