IAO, [1s,2s frozen] SCF energy -75.413246458500 
IAO, [1s,2s frozen] FCI energy -75.419508643905 
FULL, [1s,2s frozen] SCF energy -75.413880212946 
FULL, [1s,2s frozen] FCI energy nan 
FCI+FCI [1s,2s frozen] NEVPT2 energy -75.528796803359 
FCI+QSE [1s,2s frozen] NEVPT2 energy -75.512501003569 
VQE(Ry) energy (I) -75.419125075689 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.508764568390 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.508816415113 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.508839581900 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.508892140777 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.508797395424 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.508803433031 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.508815101418 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.508842492886 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.508880346822 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.508843812606 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.508842166275 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.508826860565 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.508802560789 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.508847129913 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.508783980599 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.508803309703 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.508850501655 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.508817451420 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.508902022670 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.508825363591 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.508846683829 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.508883240825 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.508872230097 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.508890275024 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.508808126736 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.508820962904 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.508877639729 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.508879583957 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.508843505072 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.508851296893 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.508858658063 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.508848418078 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.508825013830 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.508816060820 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.508812923652 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.508856278903 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.508896466944 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.508859354508 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.508866988287 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.508862929923 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.508801485573 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.508868665163 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.508845594532 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.508821971318 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.508851914109 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.508836770966 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.508758415688 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.508800211055 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.508830715212 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.508883128089 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.508840867078 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.508798772655 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.508856487046 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.508803344978 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.508848362885 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.508854493331 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.508829839520 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.508853357455 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.508815480863 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.508843527892 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.508807910587 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.508861319477 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.508797862567 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.508810314109 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.508796023042 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.508854118434 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.508845331071 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.508784373413 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.508828984520 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.508886779493 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.508878100910 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.508799741904 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.508821556990 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.508841951432 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.508852344153 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.508869478292 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.508774401882 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.508844509609 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.508892713528 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.508790701924 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.508845668358 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.508915308708 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.508837255712 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.508740461814 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.508843202919 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.508848060697 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.508842805155 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.508821445294 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.508804071037 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.508851538172 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.508849969112 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.508869239557 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.508839935610 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.508832934205 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.508899670882 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.508828132061 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.508869265928 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.508888462483 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.508885156913 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.508922186986 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy ---- FINAL AVERAGE ---- -75.508839899680 +/- 0.000034573945 
