IAO, [1s,2s frozen] SCF energy -75.413246458500 
IAO, [1s,2s frozen] FCI energy -75.419508643905 
FULL, [1s,2s frozen] SCF energy -75.413880212946 
FULL, [1s,2s frozen] FCI energy nan 
FCI+FCI [1s,2s frozen] NEVPT2 energy -75.528796803359 
FCI+QSE [1s,2s frozen] NEVPT2 energy -75.512501003569 
VQE(Ry) energy (I) -75.419125075689 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.504388022998 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.504434127553 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.504593367050 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.504897153327 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.504708018524 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.504603923962 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.504416892862 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.504395874604 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.504389365063 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.504294665244 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.504283718151 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.504751389704 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.504913526742 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.504203652509 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.504520885876 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.504339246435 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.504331512932 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.504564294425 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.504603028527 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.504404282739 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.504295051775 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.504694921882 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.504569998774 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.504378098053 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.504391412620 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.504824251964 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.504569209681 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.504383105206 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.504315514399 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.504523324918 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.504615832389 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.504631338579 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.504456755186 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.504614305059 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.504417950525 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.504586587283 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.504589243855 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.504562951905 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.504540375417 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.504551934843 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.504307590541 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.504335893503 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.504685805057 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.504421554546 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.504338954755 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.504707393298 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.504417573742 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.504369658295 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.504256910617 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.504397539364 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.504536255578 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.504512954440 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.504341553926 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.504368401496 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.504418285767 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.504529930857 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.504357851740 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.504619555905 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.504628222760 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.504616727510 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.504054296692 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.504356351026 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.504334851220 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.504466832941 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.504587262256 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.503937560505 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.504393854643 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.504625864353 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.504400478559 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.504609841659 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.504250484351 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.504741598380 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.504738440262 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.504507726768 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.504546313328 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.504422286282 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.504424108638 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.504240914126 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.504454658555 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.504627420402 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.504320255250 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.504704853086 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.504535897188 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.504599631810 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.504425866792 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.504690944898 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.504638877213 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.504631219615 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.504502078009 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.504323955824 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.504236732496 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.504418633448 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.504351482052 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.504275745237 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.504248987529 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.504300137210 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.504276824460 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.504739990817 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.504557834335 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.504357476506 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy ---- FINAL AVERAGE ---- -75.504475762960 +/- 0.000170347247 
