IAO, [1s,2s frozen] SCF energy -75.414092443026 
IAO, [1s,2s frozen] FCI energy -75.424405438845 
FULL, [1s,2s frozen] SCF energy -75.414692482011 
FULL, [1s,2s frozen] FCI energy nan 
FCI+FCI [1s,2s frozen] NEVPT2 energy -75.532674322695 
FCI+QSE [1s,2s frozen] NEVPT2 energy -75.514752336279 
VQE(Ry) energy (I) -75.424391790731 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.502584762221 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.503041777631 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.502909382116 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.502750884717 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.503179301030 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.502845594105 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.503181703152 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.502938649106 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.502933153865 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.502792997962 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.502765674820 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.502703320536 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.503131552015 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.502792167721 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.503079490525 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.502657448547 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.502940538572 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.502660065069 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.502678290853 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.502819844657 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.502660767332 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.503088056830 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.502795732463 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.502922678271 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.502793109994 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.502754386580 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.502865246944 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.502826403482 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.502929021998 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.502847158711 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.502935831034 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.502742633157 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.502917756197 
