IAO, [1s,2s frozen] SCF energy -75.414092443026 
IAO, [1s,2s frozen] FCI energy -75.424405438845 
FULL, [1s,2s frozen] SCF energy -75.414692482011 
FULL, [1s,2s frozen] FCI energy nan 
FCI+FCI [1s,2s frozen] NEVPT2 energy -75.532674322695 
FCI+QSE [1s,2s frozen] NEVPT2 energy -75.514752336279 
VQE(Ry) energy (I) -75.424391790731 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.509619884705 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.509625147666 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.509450285809 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.509604562262 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.509614086633 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.509501346286 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.509360897245 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.509592123383 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.509546458633 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.509572543414 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.509615375604 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.509510010633 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.509316323305 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.509506714949 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.509581848281 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.509574005356 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.509586059182 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.509522236567 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.509627825345 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.509562842436 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.509549519488 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.509557273034 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.509623212578 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.509605022490 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.509647831525 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.509682257782 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.509603915390 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.509592146051 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.509654664901 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.509604799467 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.509420600170 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.509608708607 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.509520589214 
