IAO, [1s,2s frozen] SCF energy -75.414352238430 
IAO, [1s,2s frozen] FCI energy -75.427755483836 
FULL, [1s,2s frozen] SCF energy -75.414352238434 
FULL, [1s,2s frozen] FCI energy nan 
FCI+FCI [1s,2s frozen] NEVPT2 energy -75.605781372820 
FCI+QSE [1s,2s frozen] NEVPT2 energy -75.578229924733 
VQE(Ry) energy (I) -75.427755384058 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.565431414595 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.565222464296 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.565468774991 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.565516895344 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.565623782158 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.565451791327 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.565473112205 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.565829868255 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.565700260212 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.565566566108 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.565474420308 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.565481332455 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.565538055199 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.565536513966 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.565638613625 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.565464903441 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.565551357619 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.565714718120 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.565573676521 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.565588023112 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.565384822884 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.565596283535 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.565587750448 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.565438555473 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.565710345218 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.565378000079 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.565413760391 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.566010956149 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.565401601577 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.565478553195 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.565275737932 
