IAO, [1s,2s frozen] SCF energy -75.414352238430 
IAO, [1s,2s frozen] FCI energy -75.427755483836 
FULL, [1s,2s frozen] SCF energy -75.414352238434 
FULL, [1s,2s frozen] FCI energy nan 
FCI+FCI [1s,2s frozen] NEVPT2 energy -75.605781372820 
FCI+QSE [1s,2s frozen] NEVPT2 energy -75.578229924733 
VQE(Ry) energy (I) -75.427755384058 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.562022876437 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.561768010365 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.561606369166 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.561518649445 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.561655913767 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.561913946680 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.561644070432 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.561684605302 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.561715452314 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.561553235510 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.561796818959 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.561505719217 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.561945585491 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.561722533703 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.561794252023 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.561739837151 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.561997101862 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.561698530752 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.561547916476 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.561834161744 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.561698804775 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.562047301530 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.561840895345 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.561807720505 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.561503517997 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.561436719816 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.561879954412 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.561822833669 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.561776937150 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.561665144727 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.561708288285 
