IAO, [1s,2s frozen] SCF energy -75.414352238430 
IAO, [1s,2s frozen] FCI energy -75.427755483836 
FULL, [1s,2s frozen] SCF energy -75.414352238434 
FULL, [1s,2s frozen] FCI energy nan 
FCI+FCI [1s,2s frozen] NEVPT2 energy -75.605781372820 
FCI+QSE [1s,2s frozen] NEVPT2 energy -75.578229924733 
VQE(Ry) energy (I) -75.427755384058 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.578356962309 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.578147890681 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.578163948422 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.577873821695 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.578592331471 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.577972906743 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.577845196663 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.578550307888 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.578060969263 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.578303692189 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.577937043494 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.577880483352 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.578371110398 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.577230233575 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.577603566129 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.577687648865 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.577867506907 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.577654592382 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.579572703262 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.578508662569 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.576368569091 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.577737033192 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.578071127306 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.578486935096 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.578293616496 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.578489790094 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.578051792010 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.578382790550 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.577790764018 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.578428140860 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.578043579491 
