IAO, [1s,2s frozen] SCF energy -75.418857661545 
IAO, [1s,2s frozen] FCI energy -75.429295360549 
FULL, [1s,2s frozen] SCF energy -75.419540965295 
FULL, [1s,2s frozen] FCI energy nan 
FCI+FCI [1s,2s frozen] NEVPT2 energy -75.544774110222 
FCI+QSE [1s,2s frozen] NEVPT2 energy -75.526427319854 
VQE(Ry) energy (I) -75.429290361092 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.518456186401 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.518559738734 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.518540710232 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.518625969093 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.518487236212 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.518563796599 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.518535480756 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.518536205226 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.518538405192 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.518510596456 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.518585566776 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.518561267245 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.518542759309 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.518521472352 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.518438351187 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.518582857301 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.518550209703 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.518461429514 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.518485189364 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.518641498013 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.518434508979 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.518573782882 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.518398604845 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.518538940846 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.518400418058 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.518692228688 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.518567786766 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.518372996858 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.518476513267 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.518490589133 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.518659470083 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.518622902975 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.518587470702 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.518627205822 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.518408011585 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.518572431366 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.518620273912 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.518454040417 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.518502152614 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.518565886978 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.518669510550 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.518591313901 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.518507996113 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.518618696768 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.518564221448 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.518551410563 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.518571785463 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.518596583316 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.518599483500 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.518476391693 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.518477897766 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.518605520734 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.518701216563 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.518551559326 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.518624254032 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.518558364998 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.518562867691 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.518518926882 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.518594628203 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.518611015058 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.518453795773 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.518569945519 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.518491433847 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.518705581818 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.518432021643 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.518501894810 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.518566694852 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.518560940660 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.518446997118 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.518597694349 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.518685588592 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.518496210505 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.518508878570 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.518594402833 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.518547132409 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.518458660928 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.518641230568 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.518561901885 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.518638243391 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.518552882151 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.518681280351 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.518482273251 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.518665318026 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.518329784923 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.518576810121 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.518570250843 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.518491982524 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.518618132946 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.518543418012 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.518490331815 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.518501106952 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.518600370873 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.518638968639 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.518616583011 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.518676768842 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.518583172793 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.518560251682 
