IAO, [1s,2s frozen] SCF energy -75.418857661545 
IAO, [1s,2s frozen] FCI energy -75.429295360549 
FULL, [1s,2s frozen] SCF energy -75.419540965295 
FULL, [1s,2s frozen] FCI energy nan 
FCI+FCI [1s,2s frozen] NEVPT2 energy -75.544774110222 
FCI+QSE [1s,2s frozen] NEVPT2 energy -75.526427319854 
VQE(Ry) energy (I) -75.429290361092 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.521095760892 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.521042795938 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.521037049790 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.521061476990 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.521082281418 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.521219893130 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.521028567566 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.521008470682 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.521031819351 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.521047105121 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.520975135361 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.520983754566 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.521034086990 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.520988438999 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.521011938282 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.520933764751 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.520914286863 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.521020375359 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.521160923834 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.520997251007 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.521111130106 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.521046700792 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.521141201239 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.521050791663 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.521030645169 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.521030918834 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.520981858509 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.521050802927 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.520999039886 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.521064771063 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.521035286470 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.521110944667 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.521055831351 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.521022528572 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.521097315809 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.521027598674 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.521057986661 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.521071857014 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.521054358807 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.521032315901 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.521098625679 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.521092479337 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.520939066067 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.521082854687 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.520902522549 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.521038117564 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.521020891848 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.520976785434 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.520943428520 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.520991185178 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.521034464344 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.521078975866 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.521101340592 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.520929415751 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.520922461696 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.521142502190 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.521013320554 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.521043049076 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.520993611750 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.521003502876 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.521089154099 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.521018524592 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.520963596541 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.520980551888 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.520972494921 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.521074426606 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.520974532658 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.521035669427 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.520972490386 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.521023744342 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.520962824279 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.521053339694 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.520890269369 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.521078137512 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.521125240713 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.521117408973 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.521051886552 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.521050984118 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.521020664171 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.521042526403 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.521066317570 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.521048276050 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.520999611800 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.521028625630 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.521043036111 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.520820282106 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.521091487422 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.521035772852 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.520921196511 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.521110142097 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.521074786288 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.520974452796 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.521068641397 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.520968894612 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.521131407237 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.521079160061 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.521139387658 
