IAO, [1s,2s frozen] SCF energy -75.418857661545 
IAO, [1s,2s frozen] FCI energy -75.429295360549 
FULL, [1s,2s frozen] SCF energy -75.419540965295 
FULL, [1s,2s frozen] FCI energy nan 
FCI+FCI [1s,2s frozen] NEVPT2 energy -75.544774110222 
FCI+QSE [1s,2s frozen] NEVPT2 energy -75.526427319854 
VQE(Ry) energy (I) -75.429290361092 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.517105129002 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.517013341375 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.517080867180 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.517024530201 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.517172891143 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.516878137646 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.517102716726 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.517017953757 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.517023056313 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.517091136869 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.516893823220 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.517225326354 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.517207242025 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.517021723524 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.517085159554 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.516956797815 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.517070666353 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.516916964445 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.517106457629 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.517314688124 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.517118801352 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.517141536532 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.517084736689 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.516999459961 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.516944175970 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.517064106033 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.517037160925 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.516995158214 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.517147945772 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.517095998415 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.517046667279 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.516990420741 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.516968555812 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.516953958036 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.517118711714 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.517089326329 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.516935805709 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.517006990762 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.516991498765 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.517125245472 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.516989285695 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.517159152012 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.517212789842 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.516951465981 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.517293136306 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.516921714506 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.517006134276 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.517069196878 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.517110207966 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.517175732253 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.517123496655 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.517009039060 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.517202793090 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.517122376803 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.516862693464 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.517110400066 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.516983807394 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.517140328821 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.517030084445 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.517146896838 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.517017023873 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.516954892866 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.517228540945 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.517121227449 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.517278327517 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.517033819175 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.517136186966 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.516991454944 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.516912194682 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.517108119525 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.517018017727 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.517075030437 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.517118760682 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.517205520027 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.517015734255 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.517007140253 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.517188816174 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.517153870166 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.517145437246 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.517183303847 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.517186400836 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.517171666442 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.517107616947 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.517155127111 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.517005240957 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.516976958541 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.517092157992 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.517062672807 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.517207310980 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.517189598972 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.516880115546 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.517083778014 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.516950805113 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.517083350439 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.517246511233 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.517006369660 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.517135129914 
