IAO, [1s,2s frozen] SCF energy -75.418857661545 
IAO, [1s,2s frozen] FCI energy -75.429295360549 
FULL, [1s,2s frozen] SCF energy -75.419540965295 
FULL, [1s,2s frozen] FCI energy nan 
FCI+FCI [1s,2s frozen] NEVPT2 energy -75.544774110222 
FCI+QSE [1s,2s frozen] NEVPT2 energy -75.526427319854 
VQE(Ry) energy (I) -75.429290361092 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.526244277169 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.526255479793 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.526551264815 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.526372861332 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.527387433816 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.526420845479 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.525858591482 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.525917542527 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.528586196309 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.531764419294 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.526390908826 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.526115806613 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.526567856908 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.526106239030 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.525404076324 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.526546003363 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.526289664273 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.526637601544 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.526261341790 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.526235075250 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.526188023945 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.526121009434 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.525873095880 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.526341238561 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.526496160603 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.525946729381 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.526811772830 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.526433212997 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.526330426512 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.525917465843 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.526375808584 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.526248459959 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.525992363394 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.526338538844 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.526112943496 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.529915732330 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.525998837295 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.526726005352 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.526040167385 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.526272928179 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.526129174753 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.530252156551 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.526264651494 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.525902965811 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.526675154977 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.526323368458 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.525657528948 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.526551388918 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.526306833054 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.526320367509 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.526387020392 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.526346115289 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.524770765214 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.530822097378 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.525898498999 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.526517585233 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.526099419785 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.525050789529 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.526482645263 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.526151745237 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.526304510101 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.526295892223 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.526108348009 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.526198251842 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.526034972214 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.526192309933 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.525871549223 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.527382347492 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.526221122380 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.535422353059 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.526019333908 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.525702000363 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.526188606651 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.526520898123 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.525916187899 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.526481144600 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.526152845180 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.525912244584 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.526298006002 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.525745011655 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.525999304981 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.526066018917 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.525610802532 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.526797061625 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.526627528398 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.525835387304 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.526233265857 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.525936693769 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.526600656380 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.525547788173 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.526297025898 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.525805420948 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.526116618739 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.526060730547 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.525365992124 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.525781645144 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.526387309884 
