IAO, [1s,2s frozen] SCF energy -75.409656204013 
IAO, [1s,2s frozen] FCI energy -75.423072402090 
FULL, [1s,2s frozen] SCF energy -75.409656204028 
FULL, [1s,2s frozen] FCI energy nan 
FCI+FCI [1s,2s frozen] NEVPT2 energy -75.591989629100 
FCI+QSE [1s,2s frozen] NEVPT2 energy -75.564603335520 
VQE(Ry) energy (I) -75.423072131417 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553874273319 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553721734548 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.554032577583 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553978632610 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553832702796 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553798059331 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553825743303 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553804291873 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553884298859 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553941330692 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553688591776 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553751542186 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553808503699 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553843742976 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553752097226 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553707652306 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.554413189051 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553825454991 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553685389211 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553729581367 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553937179271 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553916875814 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553848156708 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553671081866 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553812188384 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553974298128 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.554018494765 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553916858574 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553777085160 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553863675219 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553814183389 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553651152336 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553706325697 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553739538885 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553856225487 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553751006677 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553928472737 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.554129848349 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553725844021 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553893941009 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553769711469 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553739237374 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553716474217 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553825556700 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553890643031 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553789433384 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553965258492 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553831744432 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.554269306026 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553744250272 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553652517786 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553896833548 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553763910814 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553763097336 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553819891594 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553838293807 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553548691184 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553959672546 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553777720384 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553949575960 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553904756678 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553762976188 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.554021030055 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553936401949 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553778713499 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553846126626 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553896631812 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.554051248559 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553951930672 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553598295836 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.554172842185 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553979133855 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.554064383348 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553949792077 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553682816323 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553771334489 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553648232583 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.553612532845 
