IAO, [1s,2s frozen] SCF energy -75.409656204013 
IAO, [1s,2s frozen] FCI energy -75.423072402090 
FULL, [1s,2s frozen] SCF energy -75.409656204028 
FULL, [1s,2s frozen] FCI energy nan 
FCI+FCI [1s,2s frozen] NEVPT2 energy -75.591989629100 
FCI+QSE [1s,2s frozen] NEVPT2 energy -75.564603335520 
VQE(Ry) energy (I) -75.423072131417 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.557149352123 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.556577028727 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.556686753619 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.556685757928 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.556562347590 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.556566257533 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.556328937553 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.556688960567 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.556465081921 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.556434582038 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.556572997137 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.556751207761 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.556483472726 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.556729313933 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.556940835274 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.556682620448 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.556591948856 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.556628864558 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.556562670203 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.556885961483 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.557492364914 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.556694500000 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.556791511864 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.556506112434 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.556500376849 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.556836556405 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.556727775045 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.556783969965 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.556639311280 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.556592357838 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.556681744670 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.556677076523 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.556607116743 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.556460767184 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.556508673222 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.556457733208 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.556590462969 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.556617678246 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.556720117325 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.556825178619 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.556527844030 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.556718008837 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.556715298032 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.556724140100 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.556694878411 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.556535671663 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.556205286653 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.556556142251 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.556467056743 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.556649850920 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.556439604265 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.556659541631 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.556524945733 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.557564094640 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.556647784842 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.556767261913 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.556747854450 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.556854612875 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.556740278804 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.556968011009 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.556459521321 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.556447514049 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.556455818579 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.556696083364 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.556574209505 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.556616865053 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.556569285952 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.556557099596 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.556651924449 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.556471741058 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.556553595753 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.556589095632 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.557055029196 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.556492937870 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.556516775212 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.556565297744 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.556678687901 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.556452443304 
