IAO, [1s,2s frozen] SCF energy -75.409656204013 
IAO, [1s,2s frozen] FCI energy -75.423072402090 
FULL, [1s,2s frozen] SCF energy -75.409656204028 
FULL, [1s,2s frozen] FCI energy nan 
FCI+FCI [1s,2s frozen] NEVPT2 energy -75.591989629100 
FCI+QSE [1s,2s frozen] NEVPT2 energy -75.564603335520 
VQE(Ry) energy (I) -75.423072131417 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.549034102183 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.548980776937 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.549115312370 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.548570618252 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.549129538795 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.549056909874 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.549189378370 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.548901768482 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.549017440764 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.549096296358 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.549093731175 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.549182895228 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.548829844433 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.548776458911 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.548872147582 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.548977625103 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.549162372379 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.548823027073 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.549055889012 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.549103280507 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.549077963529 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.548951545552 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.549248325984 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.548988255127 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.549043397565 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.549066510667 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.548931397463 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.549100313741 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.549154266684 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.549165621948 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.548811292563 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.548880866703 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.548966939499 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.549146859452 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.548678460901 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.548941232264 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.549018083153 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.549160581872 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.548780752305 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.548942651961 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.548850439413 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.548624747031 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.548949538554 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.549167106965 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.549107069487 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.549217492623 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.548868945768 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.548842638790 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.548891724669 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.549081394257 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.549136947581 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.548964026590 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.548866802131 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.548995942478 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.548819427437 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.548802664157 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.549060008472 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.549124530611 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.549001755882 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.548989805027 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.548819978009 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.548882296311 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.548875585492 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.548907744033 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.548817509055 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.548859961844 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.549004050180 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.548957899926 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.548972851832 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.549230592909 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.548958578244 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.549089525589 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.549092400041 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.548812328229 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.548923580973 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.549088434726 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.549035504718 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.548891150277 
