IAO, [1s,2s frozen] SCF energy -75.409656204013 
IAO, [1s,2s frozen] FCI energy -75.423072402090 
FULL, [1s,2s frozen] SCF energy -75.409656204028 
FULL, [1s,2s frozen] FCI energy nan 
FCI+FCI [1s,2s frozen] NEVPT2 energy -75.591989629100 
FCI+QSE [1s,2s frozen] NEVPT2 energy -75.564603335520 
VQE(Ry) energy (I) -75.423072131417 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.563561613160 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.557921033794 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.563720640878 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.564849485533 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.564459049902 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.565010673663 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.565257522786 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.567728705473 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.565195746478 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.564537313562 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.563316669741 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.565093684122 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.564231384813 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.564592901984 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.564430862279 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.563496476106 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.566366998675 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.565575017227 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.564579041171 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.570417703252 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.564850476820 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.564152867805 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.564696982972 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.565756368322 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.565003385532 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.564837404143 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.564664487486 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.565094428356 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.565009538121 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.564504192868 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.564918937316 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.564451831540 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.564548737975 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.564286677378 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.564357926743 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.565114524425 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.565880413987 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.565242939760 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.564317653383 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.564365918885 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.561359034246 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.564824905796 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.565293164048 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.561993708531 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.564687200408 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.564553415972 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.565737683097 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.564617598610 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.564564038434 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.552572159195 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.564610747760 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.564640622115 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.564159815150 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.564791909061 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.564403518593 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.564676418778 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.564862048699 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.564632463376 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.564874660535 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.564751559023 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.564216032789 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.564971403772 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.565825957938 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.564356925041 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.564497780897 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.564310551860 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.565037456496 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.565463002735 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.564330848342 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.565568881128 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.564936518501 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.564625503286 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.565235986129 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.565016117770 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.564585489346 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.565447345829 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.564378808297 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.564924038729 
