IAO, [1s,2s frozen] SCF energy -75.414092443026 
IAO, [1s,2s frozen] FCI energy -75.424405438845 
FULL, [1s,2s frozen] SCF energy -75.414692482011 
FULL, [1s,2s frozen] FCI energy nan 
FCI+FCI [1s,2s frozen] NEVPT2 energy -75.532674322695 
FCI+QSE [1s,2s frozen] NEVPT2 energy -75.514752336279 
VQE(Ry) energy (I) -75.424050479413 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.507290297347 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.507360361237 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.507310483600 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.507333546808 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.507410901945 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.507268084876 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.507374028810 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.507407852675 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.507426640915 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.507238091506 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.507348242872 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.507388451794 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.507335901128 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.507299782912 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.507254617965 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.507424432934 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.507403933434 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.507287106422 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.507288798667 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.507401312681 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.507295786542 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.507290065256 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.507328698924 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.507218713703 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.507326704503 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.507229195344 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.507264205064 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.507446057998 
