IAO, [1s,2s frozen] SCF energy -75.414092443026 
IAO, [1s,2s frozen] FCI energy -75.424405438845 
FULL, [1s,2s frozen] SCF energy -75.414692482011 
FULL, [1s,2s frozen] FCI energy nan 
FCI+FCI [1s,2s frozen] NEVPT2 energy -75.532674322695 
FCI+QSE [1s,2s frozen] NEVPT2 energy -75.514752336279 
VQE(Ry) energy (I) -75.424050479413 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.509215539350 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.509173530357 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.509273770033 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.509154972146 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.509209542346 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.509247330886 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.509239630879 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.509206560648 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.509238567895 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.509340393065 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.509349089270 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.509281787656 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.509210351157 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.509203390376 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.509208770346 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.509263441324 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.509190808048 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.509209383497 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.509232249820 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.509338030456 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.509227547885 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.509269166772 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.509312806990 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.509200395868 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.509279099664 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.509340568655 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.509253500818 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.509234902988 
