IAO, [1s,2s frozen] SCF energy -75.414092443026 
IAO, [1s,2s frozen] FCI energy -75.424405438845 
FULL, [1s,2s frozen] SCF energy -75.414692482011 
FULL, [1s,2s frozen] FCI energy nan 
FCI+FCI [1s,2s frozen] NEVPT2 energy -75.532674322695 
FCI+QSE [1s,2s frozen] NEVPT2 energy -75.514752336279 
VQE(Ry) energy (I) -75.424050479413 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.506332058636 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.506545648296 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.506354384196 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.506395491413 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.506284751734 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.506458829262 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.506408856232 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.506438480172 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.506443092381 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.506430177962 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.506275061078 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.506303716576 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.506408749362 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.506351669431 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.506368578600 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.506415600820 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.506414155156 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.506438550817 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.506357312402 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.506363826268 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.506242161026 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.506327658231 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.506337939188 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.506392850074 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.506364744400 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.506287142327 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.506308225438 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.506562344271 
