IAO, [1s,2s frozen] SCF energy -75.414092443026 
IAO, [1s,2s frozen] FCI energy -75.424405438845 
FULL, [1s,2s frozen] SCF energy -75.414692482011 
FULL, [1s,2s frozen] FCI energy nan 
FCI+FCI [1s,2s frozen] NEVPT2 energy -75.532674322695 
FCI+QSE [1s,2s frozen] NEVPT2 energy -75.514752336279 
VQE(Ry) energy (I) -75.424050479413 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.514012608587 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.514253663706 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.514499658019 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.513568188488 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.514149048615 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.514189433940 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.513666808288 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.514183269476 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.514955745546 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.513826007984 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.514102579871 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.514278144202 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.514452153921 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.513969723551 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.513946068182 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.513877724267 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.514431874783 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.514285356884 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.508534678723 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.514276079115 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.514126742432 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.514694196221 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.514732772572 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.514530860062 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.514639107804 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.514809315841 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.514071017549 
VQE(Ry)+QSE [1s,2s frozen] NEVPT2 energy -75.514799042468 
